čiŋkut	limp
čoaggi	collector
čoaggi	lump
čoahkis	together
čoalas	diarrhea
čoaltu	lump
čoamohas	shoulder
čoarbbealli	thigh
čoaskkis	cold
čoavdda	key
čogu	comb
čogu	pointed
čohkka	summit
čohkkát	sit
čohkun	comb
čorbma	fist
čorbma	handful
čorggut	cleanly
čorrut	edgewise
čotta	throat
čuoigat	ski
čuolbma	knot
čuonan	spark
čuorpmas	hail
čuovgát	shine
čuovvu	successor
čuovvu	adherent
čuvdi	forefinger
čužot	forefinger
čádjádus	error
čáhpodahttit	blacken
čáhpodit	disappear
čáihmi	freckle
čállu	writing
čállu	letter
čáđbmi	freckle
čáđgit	drizzle
šalde	Brücke
šaldi	bridge
šelget	polish
šet	denn
šet	also
šet	dann
šiehtadus	agreement
šielbmá	threshold
šiervi	schlank
šiervi	schmächtig
šlahttet	sleet
šlahtti	sleet
šlahttit	sleet
šlahttádit	sleet
šleaŋgu	sling
šliipá	grindstone
šlimppistit	dangle
šlimppistit	wobble
šloapma	tattle
šloapmat	tattle
šloaŋkkas	slamming
šláttar	gossip
šláttar	gossipy
šláva	slave
šnjirggas	shrill
šuohkas	sighing
šuohkkit	sigh
šuvvat	rush
